2023-03-27 11:24:21,399 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2023-03-27 11:30:46,941 [Worker-5: Enabling Maven Dependency Management] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: tourmate_backend:tourmate_backend:0.0.1-SNAPSHOT @ C:\Users\SSAFY\Desktop\pjt-back\tourmate_backend\pom.xml.
2023-03-27 11:30:48,273 [Worker-17: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-03-27 11:30:48,274 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\SSAFY\Desktop\pjt-back\tourmate_backend\src\main\resources
2023-03-27 11:30:48,275 [Worker-17: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2023-03-27 11:30:48,276 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\SSAFY\Desktop\pjt-back\tourmate_backend\src\test\resources
2023-03-27 11:30:48,292 [Worker-5: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tourmate_backend/src
2023-03-27 11:30:48,292 [Worker-5: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /tourmate_backend/src/test/java because it overlaps with /tourmate_backend/src
2023-03-27 11:30:48,498 [Worker-5: Enabling Maven Dependency Management] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2023-03-27 11:30:48,852 [Worker-5: Enabling Maven Dependency Management] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: tourmate_backend:tourmate_backend:0.0.1-SNAPSHOT @ C:\Users\SSAFY\Desktop\pjt-back\tourmate_backend\pom.xml.
2023-03-27 11:30:49,435 [Worker-5: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tourmate_backend/src
